Overall,Squad,Player,Nation,College,Pos,MP,Min,Gls,Ast,MP,Min,Gls,Ast
1,San Diego FC,Manu Duah,gh GHA,UC Santa Barbara,MF,17,"1,285",0,0,0,,0,0
2,San Jose Earthquakes,Max Floriani,us USA,Saint Louis,DF,17,"1,042",0,0,0,,0,0
3,Chicago Fire,Dean Boltz,,Wisconsin,,,,,,,,,
4,Colorado Rapids,Alex Harris,us USA,Cornell,FW,7,160,0,0,0,,0,0
5,San Jose Earthquakes,Reid Roberts,us USA,San Francisco,DF,17,"1,102",0,0,0,,0,0
6,Colorado Rapids,Matthew Senanou,,Xavier,,,,,,,,,
7,St. Louis City,Emil Jääskeläinen,,Akron,,,,,,,,,
8,Sporting Kansas City,Jansen Miller,us USA,Indiana,DF,29,"2,304",0,1,0,,0,0
9,Charlotte FC,Mikah Thomas,us USA,UConn,DF,1,84,1,0,0,,0,0
10,D.C. United,Hakim Karamoko,,NC State,,,,,,,,,
11,FC Dallas,Enzo Newman,,Oregon State,,,,,,,,,
12,Colorado Rapids,Efetobo Aror,us USA,Portland,MF,1,5,0,0,0,,0,0
13,CF Montréal,Michael Adedokun,ng NGA,Ohio State,MF,22,"1,399",2,0,0,,0,0
14,Portland Timbers,Ian Smith,us USA,Denver,DF,25,"1,353",1,2,0,,0,0
15,Vancouver Whitecaps FC,Tate Johnson,us USA,North Carolina,DF,45,"2,685",1,2,0,,0,0
16,Colorado Rapids,Sydney Wathuta,ca CAN,Vermont,DF,4,264,0,1,0,,0,0
17,New York City FC,Max Murray,us USA,Vermont,DF,1,10,0,0,0,,0,0
18,New England Revolution,Donovan Parisian,,San Diego,,,,,,,,,
19,Real Salt Lake,Jesús Barea,es ESP,Missouri State,FW,11,263,0,0,0,,0,0
20,LA Galaxy,Jason Bucknor,us USA,Michigan,DF,16,516,1,1,0,,0,0
21,Real Salt Lake,Max Kerkvliet,,UConn,,,,,,,,,
22,Los Angeles FC,Alec Hughes,,UMass,,,,,,,,,
23,Toronto FC,Reid Fisher,us USA,San Diego State,MF,0,,,,0,,,
24,San Diego FC,Ian Pilcher,us USA,Charlotte,DF,20,"1,101",1,1,0,,0,0
25,Minnesota United,Roman Torres,,Creighton,MF,14,687,0,3,0,,0,0
26,Colorado Rapids,Josh Copeland,,Detroit Mercy,,,,,,,,,
27,Orlando City,Joran Gerbet,fr FRA,Clemson,MF,23,"1,242",0,1,0,,0,0
28,Seattle Sounders,Ryan Baer,us USA,West Virginia,MF,11,439,0,0,0,,0,0
29,Real Salt Lake,Lineker Rodrigues dos Santos,,Marshall,,,,,,,,,
30,Real Salt Lake,Sergi Solans,,Oregon State,,,,,,,,,
31,San Diego FC,Harrison Bertos,,Washington,,,,,,,,,
32,San Jose Earthquakes,Nick Fernandez,us USA,Portland,MF,2,117,0,0,0,,0,0
33,Chicago Fire,Travis Smith Jr.,,Wake Forest,,,,,,,,,
34,Sporting Kansas City,Anthony Samways,,Ohio State,,,,,,,,,
35,New England Revolution,Eric Howard,us USA,Georgetown,MF,2,162,1,0,0,,0,0
36,Nashville SC,Alioune Ka,,Cornell,,,,,,,,,
37,St. Louis City,Joey Zalinsky,,Rutgers,,,,,,,,,
38,Colorado Rapids,Charlie Harper,,North Carolina,,,,,,,,,
39,Toronto FC,Michael Sullivan,,Pittsburgh,,,,,,,,,
40,D.C. United,Daniel Ittycheria,,Princeton,,,,,,,,,
41,FC Dallas,Samuel Sarver,,Indiana,,,,,,,,,
42,Austin FC,Riley Thomas,,North Carolina,,,,,,,,,
43,Minnesota United,Kieran Chandler,us USA,UConn,DF,2,154,0,0,0,,0,0
44,CF Montréal,Arik Duncan,,California,,,,,,,,,
45,Vancouver Whitecaps FC,Nikola Djordjevic,,SMU,,,,,,,,,
46,Orlando City,Titus Sandy Jr.,,Clemson,,,,,,,,,
47,Charlotte FC,Andrew Johnson,,Cornell,,,,,,,,,
48,Houston Dynamo,Bo Cummins,us USA,Wake Forest,MF,11,489,1,1,0,,0,0
49,Real Salt Lake,Nick Dang,,Virginia,,,,,,,,,
50,CF Montréal,Caden Grabfelder,,Penn State,,,,,,,,,
51,Columbus Crew,Cesar Ruvalcaba,us USA,SMU,DF,15,310,1,0,0,,0,0
52,Inter Miami,Bailey Sparks,us USA,SMU,MF,10,367,1,1,0,,0,0
53,Atlanta United,Ronan Wynne,,Denver,,,,,,,,,
54,New York City FC,Collin McCamy,us USA,Northwestern,DF,4,50,0,0,0,,0,0
55,Minnesota United,Logan Dorsey,us USA,Kentucky,MF,6,103,1,0,0,,0,0
56,San Diego FC,Samy Kanaan,,San Diego,,,,,,,,,
57,Orlando City,Collins Oduro,,Indiana,,,,,,,,,
58,Seattle Sounders,Demian Alvarez,us USA,Seattle,DF,1,90,0,0,0,,0,0
59,Real Salt Lake,Trace Alphin,us USA,Wake Forest,GK,0,,,,0,,,
60,LA Galaxy,Jacob Woznicki,,Hofstra,,,,,,,,,
61,San Diego FC,Donovan Sessoms,,Sacramento State,,,,,,,,,
62,Colorado Rapids,Donavan Phillip,,NC State,,,,,,,,,
63,Chicago Fire,Geni Kanyane,,Dayton,,,,,,,,,
64,Sporting Kansas City,Leon Koehl,,Maryland,,,,,,,,,
65,New England Revolution,C. J. Williams,,Boston College,,,,,,,,,
66,Nashville SC,Ethan Ballek,,South Carolina,,,,,,,,,
67,St. Louis City,Colin Welsh,,Western Michigan,,,,,,,,,
68,Colorado Rapids,Shawn Smart,us USA,Clemson,DF,52,"3,593",5,1,0,,0,0
69,Toronto FC,Joseph Melto Quiah,,Dayton,,,,,,,,,
70,D.C. United,Jonah Biggar,,South Carolina,MF,8,412,0,0,0,,0,0
71,FC Dallas,Mohamed Cisset,,Penn State,,,,,,,,,
72,Austin FC,Patrick Gryczewski,,Rhode Island,,,,,,,,,
73,CF Montréal,Arthur Duquenne,,Clemson,,,,,,,,,
74,Portland Timbers,Lukas Burns,us USA,Providence,GK,0,,,,0,,,
75,Colorado Rapids,Matthew Van Horn,,Georgetown,,,,,,,,,
76,Seattle Sounders,Trace Terry,,Bowling Green,,,,,,,,,
77,Charlotte FC,Barzee Blama,,Mercer,,,,,,,,,
78,New York City FC,A. J. Smith,,Virginia,,,,,,,,,
79,Real Salt Lake,Liam O'Gara,,Wake Forest,,,,,,,,,
80,FC Cincinnati,Ben Augee,,Gonzaga,,,,,,,,,
81,Columbus Crew,Drew Kerr,us USA,Duke,MF,3,38,0,0,0,,0,0
